Standard Name,Standard Description,Standard URL,Domain,Grade,Strand,Parent Standard
CCSS.Math.Content.K.CC.A.1, Count to 100 by ones and by tens.,http://www.corestandards.org/Math/Content/K/CC/A/1,Counting & Cardinality,Kindergarten,Know number names and the count sequence.,
CCSS.Math.Content.K.CC.A.2, Count forward beginning from a given number within the known sequence (instead of having to begin at 1).,http://www.corestandards.org/Math/Content/K/CC/A/2,Counting & Cardinality,Kindergarten,Know number names and the count sequence.,
CCSS.Math.Content.K.CC.A.3, Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).,http://www.corestandards.org/Math/Content/K/CC/A/3,Counting & Cardinality,Kindergarten,Know number names and the count sequence.,
CCSS.Math.Content.K.CC.B.4, Understand the relationship between numbers and quantities; connect counting to cardinality.,http://www.corestandards.org/Math/Content/K/CC/B/4,Counting & Cardinality,Kindergarten,Count to tell the number of objects.,
CCSS.Math.Content.K.CC.B.4a," When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.",http://www.corestandards.org/Math/Content/K/CC/B/4/a,Counting & Cardinality,Kindergarten,Count to tell the number of objects.,CCSS.Math.Content.K.CC.B.4
CCSS.Math.Content.K.CC.B.4b, Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.,http://www.corestandards.org/Math/Content/K/CC/B/4/b,Counting & Cardinality,Kindergarten,Count to tell the number of objects.,CCSS.Math.Content.K.CC.B.4
CCSS.Math.Content.K.CC.B.4c, Understand that each successive number name refers to a quantity that is one larger.,http://www.corestandards.org/Math/Content/K/CC/B/4/c,Counting & Cardinality,Kindergarten,Count to tell the number of objects.,CCSS.Math.Content.K.CC.B.4
CCSS.Math.Content.K.CC.B.5," Count to answer “how many?” questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1–20, count out that many objects.",http://www.corestandards.org/Math/Content/K/CC/B/5,Counting & Cardinality,Kindergarten,Count to tell the number of objects.,
CCSS.Math.Content.K.CC.C.6," Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.",http://www.corestandards.org/Math/Content/K/CC/C/6,Counting & Cardinality,Kindergarten,Compare numbers.,
CCSS.Math.Content.K.CC.C.7, Compare two numbers between 1 and 10 presented as written numerals.,http://www.corestandards.org/Math/Content/K/CC/C/7,Counting & Cardinality,Kindergarten,Compare numbers.,
CCSS.Math.Content.K.OA.A.1," Represent addition and subtraction with objects, fingers, mental images, drawings",http://www.corestandards.org/Math/Content/K/OA/A/1,Operations & Algebraic Thinking,Kindergarten,"Understand addition, and understand subtraction.",
CCSS.Math.Content.K.OA.A.2," Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.",http://www.corestandards.org/Math/Content/K/OA/A/2,Operations & Algebraic Thinking,Kindergarten,"Understand addition, and understand subtraction.",
CCSS.Math.Content.K.OA.A.3," Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1).",http://www.corestandards.org/Math/Content/K/OA/A/3,Operations & Algebraic Thinking,Kindergarten,"Understand addition, and understand subtraction.",
CCSS.Math.Content.K.OA.A.4," For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation.",http://www.corestandards.org/Math/Content/K/OA/A/4,Operations & Algebraic Thinking,Kindergarten,"Understand addition, and understand subtraction.",
